iter	Passed	Remaining
415	3000	4211
416	3008	4205
417	3015	4199
418	3023	4192
419	3030	4185
420	3037	4177
421	3044	4169
422	3050	4161
423	3057	4153
424	3064	4145
425	3070	4137
426	3077	4130
427	3084	4122
428	3090	4114
429	3097	4106
430	3104	4098
431	3111	4090
432	3118	4083
433	3124	4075
434	3131	4066
435	3138	4059
436	3144	4051
437	3151	4043
438	3158	4035
439	3164	4027
440	3171	4019
441	3177	4011
442	3184	4003
443	3190	3995
444	3199	3990
445	3206	3982
446	3214	3976
447	3224	3972
448	3232	3966
449	3238	3958
450	3245	3950
451	3252	3942
452	3258	3935
453	3266	3927
454	3274	3921
455	3281	3914
456	3288	3907
457	3296	3900
458	3302	3892
459	3309	3885
460	3317	3878
461	3325	3872
462	3332	3864
463	3338	3857
464	3345	3849
465	3352	3841
466	3359	3834
467	3367	3827
468	3376	3822
469	3383	3815
470	3390	3807
471	3398	3801
472	3406	3795
473	3418	3793
474	3425	3786
475	3432	3778
476	3439	3770
477	3446	3763
478	3452	3755
479	3460	3748
480	3467	3741
481	3474	3734
482	3481	3726
483	3488	3719
484	3495	3711
485	3502	3704
486	3509	3697
487	3517	3690
488	3525	3684
489	3532	3676
490	3539	3669
491	3546	3661
492	3553	3654
493	3560	3647
494	3567	3639
495	3573	3631
496	3580	3623
497	3587	3615
498	3594	3609
499	3603	3603
500	3612	3597
501	3619	3590
502	3626	3583
503	3632	3575
504	3639	3567
505	3646	3559
506	3652	3551
507	3659	3544
508	3666	3536
509	3672	3528
510	3679	3520
511	3685	3513
512	3692	3505
513	3699	3498
514	3706	3490
515	3713	3482
516	3719	3475
517	3726	3467
518	3732	3459
519	3739	3452
520	3746	3444
521	3753	3436
522	3760	3429
523	3766	3421
524	3773	3414
525	3780	3406
526	3787	3399
527	3796	3393
528	3805	3388
529	3812	3380
530	3819	3373
531	3826	3366
532	3833	3358
533	3840	3351
534	3850	3346
535	3861	3342
536	3867	3334
537	3877	3329
538	3884	3322
539	3891	3315
540	3901	3310
541	3912	3306
542	3923	3301
543	3929	3294
544	3936	3286
545	3944	3280
546	3954	3274
547	3960	3267
548	3967	3259
549	3974	3251
550	3981	3244
551	3988	3237
552	3998	3232
553	4006	3225
554	4016	3220
555	4022	3212
556	4030	3205
557	4037	3197
558	4043	3189
559	4050	3182
560	4056	3174
561	4063	3167
562	4070	3159
563	4077	3151
564	4083	3144
565	4090	3136
566	4097	3128
567	4104	3121
568	4111	3114
569	4117	3106
570	4125	3099
571	4131	3091
572	4138	3083
573	4145	3076
574	4151	3068
575	4158	3060
576	4165	3053
577	4172	3046
