iter	RMSE
431	982.3456743
432	982.2283889
433	982.0819083
434	981.9590425
435	981.8519318
436	981.6920532
437	981.485321
438	981.3099681
439	981.2541203
440	981.1166822
441	980.9336762
442	980.7897361
443	980.7494533
444	980.608645
445	980.5284064
446	980.2865975
447	980.0693095
448	979.9486142
449	979.8969645
450	979.7113986
451	979.6584861
452	979.4581562
453	979.2772912
454	979.1378922
455	979.0559509
456	978.9629881
457	978.9143195
458	978.8197729
459	978.6422972
460	978.5527645
461	978.4533073
462	978.263387
463	978.1475329
464	978.0489802
465	977.9492939
466	977.8563724
467	977.7519949
468	977.6483199
469	977.4359832
470	977.2518747
471	977.1012685
472	976.8534907
473	976.6853096
474	976.5553139
475	976.3964353
476	976.2950428
477	976.24964
478	976.1452857
479	976.1060553
480	975.9350075
481	975.7688613
482	975.6291496
483	975.4767414
484	975.4342684
485	975.2573447
486	975.1139092
487	974.951911
488	974.8127592
489	974.6597786
490	974.476878
491	974.3757116
492	974.283197
493	974.1129381
494	973.9836591
495	973.8122241
496	973.6345135
497	973.4941202
498	973.3617082
499	973.1978892
500	973.0677885
501	972.8712605
502	972.7421925
503	972.5669253
504	972.4118539
505	972.2314723
506	972.0626269
507	971.862176
508	971.617526
509	971.4732063
510	971.3579759
511	971.2459283
512	971.1191914
513	971.007255
514	970.7696628
515	970.5389787
516	970.4483222
517	970.2857172
518	970.1406624
519	969.9558714
520	969.814527
521	969.679518
522	969.5264099
523	969.4479439
524	969.2535926
525	969.0896139
526	968.973113
527	968.6707468
528	968.5131939
529	968.3835445
530	968.2576345
531	968.1809481
532	968.0604749
533	967.9169469
534	967.7764626
535	967.650018
536	967.4729118
537	967.306192
538	967.2175428
539	967.0580655
540	966.9455587
541	966.8740864
542	966.7751175
543	966.5803881
544	966.4456144
545	966.2552622
546	965.8913114
547	965.8096553
548	965.6426992
549	965.5951336
550	965.5525583
551	965.3470161
552	965.3079617
553	965.1952322
554	965.053693
555	964.9291149
556	964.8226761
557	964.7517398
558	964.6052555
559	964.4928727
560	964.4506023
561	964.3088838
562	964.2053828
563	964.0131572
564	963.896006
565	963.7075728
566	963.4047341
567	963.3048894
568	963.186522
569	962.9994273
570	962.9660935
571	962.9261924
572	962.8232727
573	962.712818
574	962.5090166
575	962.3941446
576	962.1957313
577	961.9813244
578	961.875506
579	961.7833154
580	961.6098963
581	961.4478189
582	961.3311761
583	960.8390322
584	960.6927408
585	960.5551051
586	960.4431344
587	960.3556353
588	960.2721217
589	960.2307235
590	960.1679791
591	959.9698576
592	959.8446682
593	959.7182553
594	959.6095192
595	959.4837217
596	959.2718611
597	959.1094877
598	958.9126233
599	958.7652763
600	958.6341877
601	958.5599561
602	958.4708455
603	958.3669549
604	958.2626851
605	958.1185037
606	958.0004987
607	957.8901745
608	957.7703317
609	957.6120549
610	957.5236453
611	957.3432082
612	957.2467837
613	957.0751375
614	956.9353075
615	956.8578738
616	956.7304739
617	956.6874389
618	956.5123563
619	956.3888729
620	956.2664219
621	956.0735373
622	955.8744504
623	955.7917397
624	955.7469866
625	955.6624814
626	955.4869088
627	955.4451553
628	955.305433
629	955.2661051
630	955.1064658
631	955.0276475
632	954.9693519
633	954.8207441
634	954.658519
635	954.4889926
636	954.3826287
637	954.2801732
638	954.2369258
639	954.1772226
640	954.0882785
641	954.0459394
642	953.9554417
643	953.8448453
644	953.7797278
645	953.7255669
646	953.6458529
647	953.5618212
648	953.4504891
649	953.3363312
650	953.2979756
651	953.0994884
652	952.9725702
653	952.8418581
654	952.7153076
655	952.5890034
656	952.5273035
657	952.4006649
658	952.3620427
659	952.2352915
660	952.1359725
661	951.9828308
662	951.9074875
663	951.8671649
664	951.7568129
665	951.5761368
666	951.4884018
667	951.3513229
668	951.2334278
669	950.8434437
670	950.7091376
671	950.5551338
672	950.4196628
673	950.3128705
674	950.1431961
675	950.0001426
676	949.8620843
677	949.7693845
678	949.6559956
679	949.5007279
680	949.3372723
681	949.2273219
682	948.8620267
683	948.6677877
684	948.538908
685	948.3550093
686	948.1847822
687	948.0795203
688	947.9485097
689	947.8725181
690	947.736765
691	947.6133212
692	947.1639923
693	947.0633779
694	946.935028
695	946.8041467
696	946.7669367
697	946.5854043
698	946.4801565
699	946.3758242
700	946.3458256
701	946.2431459
702	946.1820541
703	946.1369854
704	945.9963937
705	945.8857983
706	945.7911775
707	945.6500783
708	945.5088987
709	945.3891292
710	945.3096797
711	945.1702292
712	945.0551013
713	944.912882
714	944.7468875
715	944.6905289
716	944.6047156
717	944.4838994
718	944.4441182
719	944.3134679
720	944.1813904
721	943.6594818
722	943.5519096
723	943.4827921
724	943.3162322
725	943.1595095
726	943.0030924
727	942.8536732
728	942.6688923
729	942.5462449
730	942.3847568
731	942.2841201
732	942.1142851
733	942.0195273
734	941.8814988
735	941.7592965
736	941.6590518
737	941.5150452
738	941.4057862
739	941.36596
740	941.2044144
741	941.0662479
742	940.9699566
743	940.8318173
744	940.669951
745	940.6068763
746	940.4868998
747	940.3483684
748	940.310859
749	939.8905985
750	939.7676007
751	939.6495974
752	939.5454076
753	939.453912
754	939.2409992
755	939.1547001
756	938.8121317
757	938.7195697
758	938.6468884
759	938.5795794
760	938.4500828
761	938.3779863
762	938.3023469
763	938.2182259
764	938.143308
765	938.0190935
766	937.898401
767	937.7783542
768	937.4848566
769	937.4016334
770	937.2429604
771	937.1371077
772	937.0373344
773	936.9088351
774	936.8420844
775	936.747543
776	936.6278096
777	936.5927396
778	936.5501139
779	936.4781104
780	936.2983899
781	936.1565145
782	936.0275653
783	935.8696767
784	935.708415
785	935.5969924
786	935.4591685
787	935.3269855
788	935.285516
789	935.1097887
790	935.0408885
791	935.0056143
792	934.9334236
793	934.7874805
794	934.6770282
795	934.5468627
796	934.4409769
797	934.3322738
798	934.2434087
799	933.9872864
800	933.9507585
801	933.8650775
802	933.7399546
803	933.572727
804	933.4525514
805	933.3489961
806	933.2368983
807	933.126427
808	933.0220488
809	932.9084254
810	932.7879833
811	932.6496375
812	932.4750342
813	932.3554142
814	932.2630214
815	932.1499861
816	932.0327145
817	931.9155349
818	931.7911448
819	931.7572798
820	931.6518288
821	931.4903193
822	931.3722581
823	931.2868253
824	931.1941193
825	931.0633629
826	930.8985396
827	930.8355108
828	930.8020499
829	930.7600478
830	930.6665468
831	930.4818161
832	930.3825175
833	930.3186184
834	930.2450709
835	930.2114675
836	930.1212327
837	930.0118288
838	929.8759194
839	929.6275439
840	929.5447053
841	929.4335781
842	929.304475
843	929.243055
844	929.0856847
845	928.9463096
846	928.8462395
847	928.7000221
848	928.6636045
849	928.3561736
850	928.2366504
851	928.1155134
852	927.9287592
853	927.8310307
854	927.6767907
855	927.5871458
856	927.4809409
857	927.3128142
858	927.2475992
859	927.1670109
860	927.1095971
861	927.0642359
862	926.9748381
863	926.8680214
864	926.7407427
865	926.6967565
866	926.6583374
867	926.2939771
868	926.2109778
869	926.0759619
870	925.9703785
871	925.8270626
872	925.6031584
873	925.5632107
874	925.5254447
875	925.4550276
876	925.36598
877	925.2586991
878	925.1135752
879	925.0263822
880	924.9056768
881	924.8035917
882	924.7003073
883	924.6605095
884	924.6277122
885	924.5392896
886	924.4598402
887	924.4237235
888	924.3599939
889	924.2994352
890	924.2588393
891	924.2225623
892	924.1478991
893	924.0649084
894	923.9718028
895	923.938407
896	923.8620472
897	923.8119631
898	923.4225143
899	923.3039842
900	923.1824203
901	923.0794348
902	922.9769515
903	922.8624716
904	922.8258862
905	922.7228774
906	922.5693851
907	922.422926
908	922.2754792
909	921.9435852
910	921.8378712
911	921.7745719
912	921.6621422
913	921.5267644
914	921.1821401
915	921.033058
916	920.9419441
917	920.847036
918	920.7467543
919	920.6399154
920	920.5364064
921	920.4383958
922	920.3324641
923	920.2945119
924	920.2072058
925	919.851977
926	919.4289284
927	919.2959444
928	918.8554569
929	918.5156356
930	918.38542
931	918.3573347
932	918.2610727
933	918.1830023
934	918.0978524
935	918.0668804
936	917.9444294
937	917.8531717
938	917.7824057
939	917.6930421
940	917.6544712
941	917.5260101
942	917.4292003
943	917.3268813
944	917.2646658
945	917.2177074
946	917.0499929
947	916.9487451
948	916.7615577
949	916.6729596
950	916.5499923
951	916.489878
952	916.3784449
953	916.272036
954	916.2111128
955	916.1077247
956	915.9903292
957	915.8976743
958	915.527496
959	915.4430126
960	915.3136773
961	915.2001204
962	915.0792668
963	914.9068447
964	914.4887479
965	914.3593508
966	914.3047795
967	914.1647592
968	914.0473456
969	913.9691083
970	913.8664419
971	913.7134759
972	913.6751213
973	913.6369615
974	913.489219
975	913.3848814
976	913.2945153
977	913.1756465
978	913.0647242
979	912.9203153
980	912.8567468
981	912.7025688
982	912.6626798
983	912.5523191
984	912.4605771
985	912.4271364
986	912.3413216
987	912.3000997
988	912.2643247
989	912.1658821
990	912.134157
991	912.0995154
992	912.0341963
993	911.9985704
994	911.9265458
995	911.8708041
996	911.8388136
997	911.7608906
998	911.6523838
999	911.6242385
